covid(x1),deprivation(x2),logspend,spend(y),x12,x22,x1y,x2y,x1x2,,,,,,,,,,
0,56.078,2.045777174,7.74,0,3144.742084,0,434.04372,0,,,,,,,,,,
0,56.078,2.428643153,11.34,0,3144.742084,0,635.92452,0,,?x1,?x2,?y,?x12,?x22,?x1y,?x2y,?x1x2,Total Records(N)
0,56.078,2.178572077,8.83,0,3144.742084,0,495.16874,0,,8000,524765.4,191560.37,8000,18826933.71,93134.22,5844020.473,262382.7,16000
0,56.078,2.113454071,8.28,0,3144.742084,0,464.32584,0,,,,,,,,,,
0,56.078,2.167761163,8.74,0,3144.742084,0,490.12172,0,,,,,,,,,,
0,56.078,2.322820613,10.2,0,3144.742084,0,571.9956,0,,,,,,,,,,
0,56.078,2.733269023,15.38,0,3144.742084,0,862.47964,0,,,,,,,,,,
0,56.078,2.507650035,12.28,0,3144.742084,0,688.63784,0,,?X12,?X22,?X1Y,?X2Y,?X1X2,,,,
0,56.078,2.13971249,8.5,0,3144.742084,0,476.663,0,,4000,1615763.391,-2645.965,-438745.4134,0,,,,
0,56.078,1.987801034,7.3,0,3144.742084,0,409.3694,0,,,,,,,,,,
0,56.078,2.170268907,8.76,0,3144.742084,0,491.24328,0,,,,,,,,,,
0,56.078,2.139919485,8.5,0,3144.742084,0,476.663,0,,b2,b1,b0,,,,,,
0,56.078,2.296956421,9.94,0,3144.742084,0,557.41532,0,,-0.66149125,-0.271540633,21.20921429,,,,,,
0,56.078,1.849226277,6.35,0,3144.742084,0,356.0953,0,,,,,,,,,,
0,56.078,2.284852199,9.82,0,3144.742084,0,550.68596,0,,,,,,,,,,
0,56.078,2.434714076,11.41,0,3144.742084,0,639.84998,0,,,,,,,,,,
0,56.078,1.810368085,6.11,0,3144.742084,0,342.63658,0,,,,,,,,,,
0,56.078,1.976741104,7.22,0,3144.742084,0,404.88316,0,,,,,,,,,,
0,56.078,2.376719473,10.77,0,3144.742084,0,603.96006,0,,,,,,,,,,
0,56.078,2.123183486,8.36,0,3144.742084,0,468.81208,0,,,,,,,,,,
0,56.078,2.083754662,8.03,0,3144.742084,0,450.30634,0,,,,,,,,,,
0,56.078,2.059297735,7.84,0,3144.742084,0,439.65152,0,,,,,,,,,,
0,56.078,2.144421293,8.54,0,3144.742084,0,478.90612,0,,,,,,,,,,
0,56.078,2.365024759,10.64,0,3144.742084,0,596.66992,0,,,,,,,,,,
0,56.078,2.623328282,13.78,0,3144.742084,0,772.75484,0,,,,,,,,,,
0,56.078,2.209020269,9.11,0,3144.742084,0,510.87058,0,,,,,,,,,,
0,56.078,2.338985218,10.37,0,3144.742084,0,581.52886,0,,,,,,,,,,
0,56.078,2.080084588,8.01,0,3144.742084,0,449.18478,0,,,,,,,,,,
0,56.078,2.027115146,7.59,0,3144.742084,0,425.63202,0,,,,,,,,,,
0,56.078,2.182694386,8.87,0,3144.742084,0,497.41186,0,,,,,,,,,,
0,56.078,2.300913396,9.98,0,3144.742084,0,559.65844,0,,,,,,,,,,
0,56.078,2.354728707,10.54,0,3144.742084,0,591.06212,0,,,,,,,,,,
0,56.078,2.33066425,10.28,0,3144.742084,0,576.48184,0,,,,,,,,,,
0,56.078,2.246525703,9.45,0,3144.742084,0,529.9371,0,,,,,,,,,,
0,56.078,2.093392296,8.11,0,3144.742084,0,454.79258,0,,,,,,,,,,
0,56.078,2.240473289,9.4,0,3144.742084,0,527.1332,0,,,,,,,,,,
0,56.078,2.45278277,11.62,0,3144.742084,0,651.62636,0,,,,,,,,,,
0,56.078,1.985330586,7.28,0,3144.742084,0,408.24784,0,,,,,,,,,,
0,56.078,1.83426438,6.26,0,3144.742084,0,351.04828,0,,,,,,,,,,
0,56.078,2.120164865,8.33,0,3144.742084,0,467.12974,0,,,,,,,,,,
0,56.078,2.28882119,9.86,0,3144.742084,0,552.92908,0,,,,,,,,,,
0,56.078,2.401657649,11.04,0,3144.742084,0,619.10112,0,,,,,,,,,,
0,56.078,2.287853007,9.85,0,3144.742084,0,552.3683,0,,,,,,,,,,
0,56.078,2.37733836,10.78,0,3144.742084,0,604.52084,0,,,,,,,,,,
0,56.078,2.162740166,8.69,0,3144.742084,0,487.31782,0,,,,,,,,,,
0,56.078,2.295331687,9.93,0,3144.742084,0,556.85454,0,,,,,,,,,,
0,56.078,2.284231064,9.82,0,3144.742084,0,550.68596,0,,,,,,,,,,
0,56.078,1.824731092,6.2,0,3144.742084,0,347.6836,0,,,,,,,,,,
